"Date","Year","Month","MonYr","Site","Station","Sample_num","OysterID","SampleEventID","ShellHeight","SH_Bin","M_F","Sex","ReproStage","Parasite","BadSlide","Comments","DataStatus"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0242","01","LXND2001-01","LXCOLL_20200107_1_0242_1",67.02,"(65,70]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0242","02","LXND2001-02","LXCOLL_20200107_1_0242_1",55.19,"(55,60]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0242","03","LXND2001-03","LXCOLL_20200107_1_0242_1",47.73,"(45,50]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0242","04","LXND2001-04","LXCOLL_20200107_1_0242_1",55.5,"(55,60]","No","F","1","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0242","05","LXND2001-05","LXCOLL_20200107_1_0242_1",50.82,"(50,55]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0243","06","LXND2001-06","LXCOLL_20200107_1_0243_1",56.67,"(55,60]","No","M","3","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0243","07","LXND2001-07","LXCOLL_20200107_1_0243_1",47.87,"(45,50]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0243","08","LXND2001-08","LXCOLL_20200107_1_0243_1",45.61,"(45,50]","No","F","2","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0243","09","LXND2001-09","LXCOLL_20200107_1_0243_1",55.84,"(55,60]","No","F","1","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0243","10","LXND2001-10","LXCOLL_20200107_1_0243_1",54.87,"(50,55]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0244","11","LXND2001-11","LXCOLL_20200107_1_0244_1",54.74,"(50,55]","No","F","3","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0244","12","LXND2001-12","LXCOLL_20200107_1_0244_1",52.98,"(50,55]","No","Z","4","No","N","OldStage=Z;","Proofed"
2020-01-07,"2020","Jan",Jan 2020,"LXN","0244","13","LXND2001-13","LXCOLL_20200107_1_0244_1",55.89,"(55,60]","No","Z","4","No","N","OldStage=Z;","Proofed"
